age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager
22,no,non_travel,1123,research_&_development,16,college,medical,1,22,very_high,male,96,very_high,1,laboratory_technician,very_high,divorced,2935,7324,1,y,yes,13,excellent,medium,80,2,1,2,good,1,0,0,0
53,no,travel_rarely,1219,sales,2,master,life_sciences,1,23,low,female,78,medium,4,manager,very_high,married,15427,22021,2,y,no,16,excellent,high,80,0,31,3,better,25,8,3,7
38,no,travel_rarely,371,research_&_development,2,bachelor,life_sciences,1,24,very_high,male,45,high,1,research_scientist,very_high,single,3944,4306,5,y,yes,11,excellent,high,80,0,6,3,better,3,2,1,2
24,no,non_travel,673,research_&_development,11,college,other,1,26,low,female,96,very_high,2,manufacturing_director,high,divorced,4011,8232,0,y,no,18,excellent,very_high,80,1,5,5,good,4,2,1,3
36,yes,travel_rarely,1218,sales,9,master,life_sciences,1,27,high,male,82,medium,1,sales_representative,low,single,3407,6986,7,y,no,23,outstanding,medium,80,0,10,4,better,5,3,0,3
34,no,travel_rarely,419,research_&_development,7,master,life_sciences,1,28,low,female,53,high,3,research_director,medium,single,11994,21293,0,y,no,11,excellent,high,80,0,13,4,better,12,6,2,11
21,no,travel_rarely,391,research_&_development,15,college,life_sciences,1,30,high,male,96,high,1,research_scientist,very_high,single,1232,19281,1,y,no,14,excellent,very_high,80,0,0,6,better,0,0,0,0
34,yes,travel_rarely,699,research_&_development,6,below_college,medical,1,31,medium,male,83,high,1,research_scientist,low,single,2960,17102,2,y,no,11,excellent,high,80,0,8,2,better,4,2,1,3
53,no,travel_rarely,1282,research_&_development,5,bachelor,other,1,32,high,female,58,high,5,manager,high,divorced,19094,10735,4,y,no,11,excellent,very_high,80,1,26,3,good,14,13,4,8
32,yes,travel_frequently,1125,research_&_development,16,below_college,life_sciences,1,33,medium,female,72,low,1,research_scientist,low,single,3919,4681,1,y,yes,22,outstanding,medium,80,0,10,5,better,10,2,6,7
42,no,travel_rarely,691,sales,8,master,marketing,1,35,high,male,48,high,2,sales_executive,medium,married,6825,21173,0,y,no,11,excellent,very_high,80,1,10,2,better,9,7,4,2
44,no,travel_rarely,477,research_&_development,7,master,medical,1,36,low,female,42,medium,3,healthcare_representative,very_high,married,10248,2094,3,y,no,14,excellent,very_high,80,1,24,4,better,22,6,5,17
46,no,travel_rarely,705,sales,2,master,marketing,1,38,medium,female,83,high,5,manager,low,single,18947,22822,3,y,no,12,excellent,very_high,80,0,22,2,good,2,2,2,1
33,no,travel_rarely,924,research_&_development,2,bachelor,medical,1,39,high,male,78,high,1,laboratory_technician,very_high,single,2496,6670,4,y,no,11,excellent,very_high,80,0,7,3,better,1,1,0,0
44,no,travel_rarely,1459,research_&_development,10,master,other,1,40,very_high,male,41,high,2,healthcare_representative,very_high,married,6465,19121,2,y,yes,13,excellent,very_high,80,0,9,5,best,4,2,1,3
30,no,travel_rarely,125,research_&_development,9,college,medical,1,41,very_high,male,83,medium,1,laboratory_technician,high,single,2206,16117,1,y,no,13,excellent,low,80,0,10,5,better,10,0,1,8
39,yes,travel_rarely,895,sales,5,bachelor,technical_degree,1,42,very_high,male,56,high,2,sales_representative,very_high,married,2086,3335,3,y,no,14,excellent,high,80,1,19,6,best,1,0,0,0
24,yes,travel_rarely,813,research_&_development,1,bachelor,medical,1,45,medium,male,61,high,1,research_scientist,very_high,married,2293,3020,2,y,yes,16,excellent,low,80,1,6,2,good,2,0,2,0
43,no,travel_rarely,1273,research_&_development,2,college,medical,1,46,very_high,female,72,very_high,1,research_scientist,high,divorced,2645,21923,1,y,no,12,excellent,very_high,80,2,6,3,good,5,3,1,4
50,yes,travel_rarely,869,sales,3,college,marketing,1,47,low,male,86,medium,1,sales_representative,high,married,2683,3810,1,y,yes,14,excellent,high,80,0,3,2,better,3,2,0,2
35,no,travel_rarely,890,sales,2,bachelor,marketing,1,49,very_high,female,97,high,1,sales_representative,very_high,married,2014,9687,1,y,no,13,excellent,low,80,0,2,3,better,2,2,2,2
36,no,travel_rarely,852,research_&_development,5,master,life_sciences,1,51,medium,female,82,medium,1,research_scientist,low,married,3419,13072,9,y,yes,14,excellent,very_high,80,1,6,3,best,1,1,0,0
33,no,travel_frequently,1141,sales,1,bachelor,life_sciences,1,52,high,female,42,very_high,2,sales_executive,low,married,5376,3193,2,y,no,19,excellent,low,80,2,10,3,better,5,3,1,3
35,no,travel_rarely,464,research_&_development,4,college,other,1,53,high,male,75,high,1,laboratory_technician,very_high,divorced,1951,10910,1,y,no,12,excellent,high,80,1,1,3,better,1,0,0,0
27,no,travel_rarely,1240,research_&_development,2,master,life_sciences,1,54,very_high,female,33,high,1,laboratory_technician,low,divorced,2341,19715,1,y,no,13,excellent,very_high,80,1,1,6,better,1,0,0,0
26,yes,travel_rarely,1357,research_&_development,25,bachelor,life_sciences,1,55,low,male,48,low,1,laboratory_technician,high,single,2293,10558,1,y,no,12,excellent,high,80,0,1,2,good,1,0,0,1
27,no,travel_frequently,994,sales,8,bachelor,life_sciences,1,56,very_high,male,37,high,3,sales_executive,high,single,8726,2975,1,y,no,15,excellent,very_high,80,0,9,0,better,9,8,1,7
30,no,travel_frequently,721,research_&_development,1,college,medical,1,57,high,female,58,high,2,laboratory_technician,very_high,single,4011,10781,1,y,no,23,outstanding,very_high,80,0,12,2,better,12,8,3,7
41,yes,travel_rarely,1360,research_&_development,12,bachelor,technical_degree,1,58,medium,female,49,high,5,research_director,high,married,19545,16280,1,y,no,12,excellent,very_high,80,0,23,0,better,22,15,15,8
34,no,non_travel,1065,sales,23,master,marketing,1,60,medium,male,72,high,2,sales_executive,high,single,4568,10034,0,y,no,20,outstanding,high,80,0,10,2,better,9,5,8,7
37,no,travel_rarely,408,research_&_development,19,college,life_sciences,1,61,medium,male,73,high,1,research_scientist,medium,married,3022,10227,4,y,no,21,outstanding,low,80,0,8,1,better,1,0,0,0
46,no,travel_frequently,1211,sales,5,master,marketing,1,62,low,male,98,high,2,sales_executive,very_high,single,5772,20445,4,y,yes,21,outstanding,high,80,0,14,4,better,9,6,0,8
35,no,travel_rarely,1229,research_&_development,8,below_college,life_sciences,1,63,very_high,male,36,very_high,1,laboratory_technician,very_high,married,2269,4892,1,y,no,19,excellent,very_high,80,0,1,2,better,1,0,0,1
48,yes,travel_rarely,626,research_&_development,1,college,life_sciences,1,64,low,male,98,medium,3,laboratory_technician,high,single,5381,19294,9,y,yes,13,excellent,very_high,80,0,23,2,better,1,0,0,0
28,yes,travel_rarely,1434,research_&_development,5,master,technical_degree,1,65,high,male,50,high,1,laboratory_technician,high,single,3441,11179,1,y,yes,13,excellent,high,80,0,2,3,good,2,2,2,2
44,no,travel_rarely,1488,sales,1,doctor,marketing,1,68,medium,female,75,high,2,sales_executive,low,divorced,5454,4009,5,y,yes,21,outstanding,high,80,1,9,2,good,4,3,1,3
35,no,non_travel,1097,research_&_development,11,college,medical,1,70,high,male,79,medium,3,healthcare_representative,low,married,9884,8302,2,y,yes,13,excellent,high,80,1,10,3,better,4,0,2,3
26,no,travel_rarely,1443,sales,23,bachelor,marketing,1,72,high,female,47,medium,2,sales_executive,very_high,married,4157,21436,7,y,yes,19,excellent,high,80,1,5,2,good,2,2,0,0
33,no,travel_frequently,515,research_&_development,1,college,life_sciences,1,73,low,female,98,high,3,research_director,very_high,single,13458,15146,1,y,yes,12,excellent,high,80,0,15,1,better,15,14,8,12
35,no,travel_frequently,853,sales,18,doctor,life_sciences,1,74,medium,male,71,high,3,sales_executive,low,married,9069,11031,1,y,no,22,outstanding,very_high,80,1,9,3,good,9,8,1,8
35,no,travel_rarely,1142,research_&_development,23,master,medical,1,75,high,female,30,high,1,laboratory_technician,low,married,4014,16002,3,y,yes,15,excellent,high,80,1,4,3,better,2,2,2,2
31,no,travel_rarely,655,research_&_development,7,master,life_sciences,1,76,very_high,male,48,high,2,laboratory_technician,very_high,divorced,5915,9528,3,y,no,22,outstanding,very_high,80,1,10,3,good,7,7,1,7
37,no,travel_rarely,1115,research_&_development,1,master,life_sciences,1,77,low,male,51,medium,2,manufacturing_director,high,divorced,5993,2689,1,y,no,18,excellent,high,80,1,7,2,best,7,5,0,7
32,no,travel_rarely,427,research_&_development,1,bachelor,medical,1,78,low,male,33,high,2,manufacturing_director,very_high,married,6162,10877,1,y,yes,22,outstanding,medium,80,1,9,3,better,9,8,7,8
38,no,travel_frequently,653,research_&_development,29,doctor,life_sciences,1,79,very_high,female,50,high,2,laboratory_technician,very_high,single,2406,5456,1,y,no,11,excellent,very_high,80,0,10,2,better,10,3,9,9
50,no,travel_rarely,989,research_&_development,7,college,medical,1,80,medium,female,43,medium,5,research_director,high,divorced,18740,16701,5,y,yes,12,excellent,very_high,80,1,29,2,good,27,3,13,8
59,no,travel_rarely,1435,sales,25,bachelor,life_sciences,1,81,low,female,99,high,3,sales_executive,low,single,7637,2354,7,y,no,11,excellent,very_high,80,0,28,3,good,21,16,7,9
36,no,travel_rarely,1223,research_&_development,8,bachelor,technical_degree,1,83,high,female,59,high,3,healthcare_representative,high,divorced,10096,8202,1,y,no,13,excellent,medium,80,3,17,2,better,17,14,12,8
55,no,travel_rarely,836,research_&_development,8,bachelor,medical,1,84,very_high,female,33,high,4,manager,high,divorced,14756,19730,2,y,yes,14,excellent,high,80,3,21,2,better,5,0,0,2
36,no,travel_frequently,1195,research_&_development,11,bachelor,life_sciences,1,85,medium,male,95,medium,2,manufacturing_director,medium,single,6499,22656,1,y,no,13,excellent,high,80,0,6,3,better,6,5,0,3
45,no,travel_rarely,1339,research_&_development,7,bachelor,life_sciences,1,86,medium,male,59,high,3,research_scientist,low,divorced,9724,18787,2,y,no,17,excellent,high,80,1,25,2,better,1,0,0,0
35,no,travel_frequently,664,research_&_development,1,bachelor,medical,1,88,medium,male,79,high,1,research_scientist,low,married,2194,5868,4,y,no,13,excellent,very_high,80,1,5,2,good,3,2,1,2
36,yes,travel_rarely,318,research_&_development,9,bachelor,medical,1,90,very_high,male,79,medium,1,research_scientist,high,married,3388,21777,0,y,yes,17,excellent,low,80,1,2,0,good,1,0,0,0
59,no,travel_frequently,1225,sales,1,below_college,life_sciences,1,91,low,female,57,medium,2,sales_executive,high,single,5473,24668,7,y,no,11,excellent,very_high,80,0,20,2,good,4,3,1,3
29,no,travel_rarely,1328,research_&_development,2,bachelor,life_sciences,1,94,high,male,76,high,1,research_scientist,medium,married,2703,4956,0,y,no,23,outstanding,very_high,80,1,6,3,better,5,4,0,4
31,no,travel_rarely,1082,research_&_development,1,master,medical,1,95,high,male,87,high,1,research_scientist,medium,single,2501,18775,1,y,no,17,excellent,medium,80,0,1,4,better,1,1,1,0
32,no,travel_rarely,548,research_&_development,1,bachelor,life_sciences,1,96,medium,male,66,high,2,research_scientist,medium,married,6220,7346,1,y,no,17,excellent,medium,80,2,10,3,better,10,4,0,9
36,no,travel_rarely,132,research_&_development,6,bachelor,life_sciences,1,97,medium,female,55,very_high,1,laboratory_technician,very_high,married,3038,22002,3,y,no,12,excellent,medium,80,0,5,3,better,1,0,0,0
31,no,travel_rarely,746,research_&_development,8,master,life_sciences,1,98,high,female,61,high,2,manufacturing_director,very_high,single,4424,20682,1,y,no,23,outstanding,very_high,80,0,11,2,better,11,7,1,8
35,no,travel_rarely,776,sales,1,master,marketing,1,100,high,male,32,medium,2,sales_executive,low,single,4312,23016,0,y,no,14,excellent,medium,80,0,16,2,better,15,13,2,8
45,no,travel_rarely,193,research_&_development,6,master,other,1,101,very_high,male,52,high,3,research_director,low,married,13245,15067,4,y,yes,14,excellent,medium,80,0,17,3,best,0,0,0,0
37,no,travel_rarely,397,research_&_development,7,master,medical,1,102,low,male,30,high,3,research_director,high,single,13664,25258,4,y,no,13,excellent,low,80,0,16,3,best,5,2,0,2
46,no,travel_rarely,945,human_resources,5,college,medical,1,103,medium,male,80,high,2,human_resources,medium,divorced,5021,10425,8,y,yes,22,outstanding,very_high,80,1,16,2,better,4,2,0,2
30,no,travel_rarely,852,research_&_development,1,below_college,life_sciences,1,104,very_high,male,55,medium,2,laboratory_technician,very_high,married,5126,15998,1,y,yes,12,excellent,high,80,2,10,1,good,10,8,3,0
35,no,travel_rarely,1214,research_&_development,1,bachelor,medical,1,105,medium,male,30,medium,1,research_scientist,high,single,2859,26278,1,y,no,18,excellent,low,80,0,6,3,better,6,4,0,4
55,no,travel_rarely,111,sales,1,college,life_sciences,1,106,low,male,70,high,3,sales_executive,very_high,married,10239,18092,3,y,no,14,excellent,very_high,80,1,24,4,better,1,0,1,0
38,no,non_travel,573,research_&_development,6,bachelor,medical,1,107,medium,female,79,low,2,research_scientist,very_high,divorced,5329,15717,7,y,yes,12,excellent,very_high,80,3,17,3,better,13,11,1,9
34,no,travel_rarely,1153,research_&_development,1,college,medical,1,110,low,male,94,high,2,manufacturing_director,medium,married,4325,17736,1,y,no,15,excellent,high,80,0,5,2,better,5,2,1,3
56,no,travel_rarely,1400,research_&_development,7,bachelor,life_sciences,1,112,very_high,male,49,low,3,manufacturing_director,very_high,single,7260,21698,4,y,no,11,excellent,low,80,0,37,3,good,6,4,0,2
23,no,travel_rarely,541,sales,2,below_college,technical_degree,1,113,high,male,62,high,1,sales_representative,low,divorced,2322,9518,3,y,no,13,excellent,high,80,1,3,3,better,0,0,0,0
51,no,travel_rarely,432,research_&_development,9,master,life_sciences,1,116,very_high,male,96,high,1,laboratory_technician,very_high,married,2075,18725,3,y,no,23,outstanding,medium,80,2,10,4,better,4,2,0,3
30,no,travel_rarely,288,research_&_development,2,bachelor,life_sciences,1,117,high,male,99,medium,2,healthcare_representative,very_high,married,4152,15830,1,y,no,19,excellent,low,80,3,11,3,better,11,10,10,8
46,yes,travel_rarely,669,sales,9,college,medical,1,118,high,male,64,medium,3,sales_executive,very_high,single,9619,13596,1,y,no,16,excellent,very_high,80,0,9,3,better,9,8,4,7
40,no,travel_frequently,530,research_&_development,1,master,life_sciences,1,119,high,male,78,medium,4,healthcare_representative,medium,married,13503,14115,1,y,no,22,outstanding,very_high,80,1,22,3,good,22,3,11,11
51,no,travel_rarely,632,sales,21,master,marketing,1,120,high,male,71,high,2,sales_executive,very_high,single,5441,8423,0,y,yes,22,outstanding,very_high,80,0,11,2,bad,10,7,1,0
30,no,travel_rarely,1334,sales,4,college,medical,1,121,high,female,63,medium,2,sales_executive,medium,divorced,5209,19760,1,y,yes,12,excellent,medium,80,3,11,4,good,11,8,2,7
46,no,travel_frequently,638,research_&_development,1,bachelor,medical,1,124,high,male,40,medium,3,healthcare_representative,low,married,10673,3142,2,y,yes,13,excellent,high,80,1,21,5,good,10,9,9,5
32,no,travel_rarely,1093,sales,6,master,medical,1,125,medium,male,87,high,2,sales_executive,high,single,5010,24301,1,y,no,16,excellent,low,80,0,12,0,better,11,8,5,7
54,no,travel_rarely,1217,research_&_development,2,master,technical_degree,1,126,low,female,60,high,3,research_director,high,married,13549,24001,9,y,no,12,excellent,low,80,1,16,5,bad,4,3,0,3
24,no,travel_rarely,1353,sales,3,college,other,1,128,low,female,33,high,2,sales_executive,high,married,4999,17519,0,y,no,21,outstanding,low,80,1,4,2,good,3,2,0,2
28,no,non_travel,120,sales,4,bachelor,medical,1,129,medium,male,43,high,2,sales_executive,high,married,4221,8863,1,y,no,15,excellent,medium,80,0,5,3,best,5,4,0,4
58,no,travel_rarely,682,sales,10,master,medical,1,131,very_high,male,37,high,4,sales_executive,high,single,13872,24409,0,y,no,13,excellent,high,80,0,38,1,good,37,10,1,8
44,no,non_travel,489,research_&_development,23,bachelor,medical,1,132,medium,male,67,high,2,laboratory_technician,medium,married,2042,25043,4,y,no,12,excellent,high,80,1,17,3,best,3,2,1,2
37,yes,travel_rarely,807,human_resources,6,master,human_resources,1,133,high,male,63,high,1,human_resources,low,divorced,2073,23648,4,y,yes,22,outstanding,very_high,80,0,7,3,better,3,2,0,2
32,no,travel_rarely,827,research_&_development,1,below_college,life_sciences,1,134,very_high,male,71,high,1,research_scientist,low,single,2956,15178,1,y,no,13,excellent,very_high,80,0,1,2,better,1,0,0,0
20,yes,travel_frequently,871,research_&_development,6,bachelor,life_sciences,1,137,very_high,female,66,medium,1,laboratory_technician,very_high,single,2926,19783,1,y,yes,18,excellent,medium,80,0,1,5,better,1,0,1,0
34,no,travel_rarely,665,research_&_development,6,master,other,1,138,low,female,41,high,2,research_scientist,high,single,4809,12482,1,y,no,14,excellent,high,80,0,16,3,better,16,13,2,10
37,no,non_travel,1040,research_&_development,2,college,life_sciences,1,139,high,male,100,medium,2,healthcare_representative,very_high,divorced,5163,15850,5,y,no,14,excellent,very_high,80,1,17,2,best,1,0,0,0
59,no,non_travel,1420,human_resources,2,master,human_resources,1,140,high,female,32,medium,5,manager,very_high,married,18844,21922,9,y,no,21,outstanding,very_high,80,1,30,3,better,3,2,2,2
50,no,travel_frequently,1115,research_&_development,1,bachelor,life_sciences,1,141,low,female,73,high,5,research_director,medium,married,18172,9755,3,y,yes,19,excellent,low,80,0,28,1,good,8,3,0,7
25,yes,travel_rarely,240,sales,5,bachelor,marketing,1,142,high,male,46,medium,2,sales_executive,high,single,5744,26959,1,y,yes,11,excellent,very_high,80,0,6,1,better,6,4,0,3
25,no,travel_rarely,1280,research_&_development,7,below_college,medical,1,143,very_high,male,64,medium,1,research_scientist,very_high,married,2889,26897,1,y,no,11,excellent,high,80,2,2,2,better,2,2,2,1
22,no,travel_rarely,534,research_&_development,15,bachelor,medical,1,144,medium,female,59,high,1,laboratory_technician,very_high,single,2871,23785,1,y,no,15,excellent,high,80,0,1,5,better,0,0,0,0
51,no,travel_frequently,1456,research_&_development,1,master,medical,1,145,low,female,30,medium,3,healthcare_representative,low,single,7484,25796,3,y,no,20,outstanding,high,80,0,23,1,good,13,12,12,8
34,yes,travel_frequently,658,research_&_development,7,bachelor,life_sciences,1,147,low,male,66,low,2,laboratory_technician,high,single,6074,22887,1,y,yes,24,outstanding,very_high,80,0,9,3,better,9,7,0,6
54,no,non_travel,142,human_resources,26,bachelor,human_resources,1,148,very_high,female,30,very_high,4,manager,very_high,single,17328,13871,2,y,yes,12,excellent,high,80,0,23,3,better,5,3,4,4
24,no,travel_rarely,1127,research_&_development,18,below_college,life_sciences,1,150,medium,male,52,high,1,laboratory_technician,high,married,2774,13257,0,y,no,12,excellent,high,80,1,6,2,better,5,3,1,2
34,no,travel_rarely,1031,research_&_development,6,master,life_sciences,1,151,high,female,45,medium,2,research_scientist,medium,divorced,4505,15000,6,y,no,15,excellent,high,80,1,12,3,better,1,0,0,0
37,no,travel_rarely,1189,sales,3,bachelor,life_sciences,1,152,high,male,87,high,3,sales_executive,very_high,single,7428,14506,2,y,no,12,excellent,low,80,0,12,3,better,5,3,1,3
34,no,travel_rarely,1354,research_&_development,5,bachelor,medical,1,153,high,female,45,medium,3,manager,low,single,11631,5615,2,y,no,12,excellent,very_high,80,0,14,6,better,11,10,5,8
36,no,travel_frequently,1467,sales,11,college,technical_degree,1,154,medium,female,92,high,3,sales_executive,very_high,married,9738,22952,0,y,no,14,excellent,high,80,1,10,6,better,9,7,2,8
36,no,travel_rarely,922,research_&_development,3,college,life_sciences,1,155,low,female,39,high,1,laboratory_technician,very_high,divorced,2835,2561,5,y,no,22,outstanding,low,80,1,7,2,better,1,0,0,0
43,no,travel_frequently,394,sales,26,college,life_sciences,1,158,high,male,92,high,4,manager,very_high,married,16959,19494,1,y,yes,12,excellent,very_high,80,2,25,3,best,25,12,4,12
30,no,travel_frequently,1312,research_&_development,23,bachelor,life_sciences,1,159,low,male,96,low,1,research_scientist,high,divorced,2613,22310,1,y,no,25,outstanding,high,80,3,10,2,good,10,7,0,9
33,no,non_travel,750,sales,22,college,marketing,1,160,high,male,95,high,2,sales_executive,medium,married,6146,15480,0,y,no,13,excellent,low,80,1,8,2,best,7,7,0,7
56,yes,travel_rarely,441,research_&_development,14,master,life_sciences,1,161,medium,female,72,high,1,research_scientist,medium,married,4963,4510,9,y,yes,18,excellent,low,80,3,7,2,better,5,4,4,3
51,no,travel_rarely,684,research_&_development,6,bachelor,life_sciences,1,162,low,male,51,high,5,research_director,high,single,19537,6462,7,y,no,13,excellent,high,80,0,23,5,better,20,18,15,15
31,yes,travel_rarely,249,sales,6,master,life_sciences,1,163,medium,male,76,low,2,sales_executive,high,married,6172,20739,4,y,yes,18,excellent,medium,80,0,12,3,good,7,7,7,7
26,no,travel_rarely,841,research_&_development,6,bachelor,other,1,164,high,female,46,medium,1,research_scientist,medium,married,2368,23300,1,y,no,19,excellent,high,80,0,5,3,good,5,4,4,3
58,yes,travel_rarely,147,research_&_development,23,master,medical,1,165,very_high,female,94,high,3,healthcare_representative,very_high,married,10312,3465,1,y,no,12,excellent,very_high,80,1,40,3,good,40,10,15,6
19,yes,travel_rarely,528,sales,22,below_college,marketing,1,167,very_high,male,50,high,1,sales_representative,high,single,1675,26820,1,y,yes,19,excellent,very_high,80,0,0,2,good,0,0,0,0
22,no,travel_rarely,594,research_&_development,2,below_college,technical_degree,1,169,high,male,100,high,1,laboratory_technician,very_high,married,2523,19299,0,y,no,14,excellent,high,80,1,3,2,better,2,1,2,1
49,no,travel_rarely,470,research_&_development,20,master,medical,1,170,high,female,96,high,2,manufacturing_director,low,married,6567,5549,1,y,no,14,excellent,high,80,0,16,2,good,15,11,5,11
43,no,travel_frequently,957,research_&_development,28,bachelor,medical,1,171,medium,female,72,very_high,1,research_scientist,high,single,4739,16090,4,y,no,12,excellent,very_high,80,0,18,2,better,3,2,1,2
50,no,travel_frequently,809,sales,12,bachelor,marketing,1,174,high,female,77,high,3,sales_executive,very_high,single,9208,6645,4,y,no,11,excellent,very_high,80,0,16,3,better,2,2,2,1
31,yes,travel_rarely,542,sales,20,bachelor,life_sciences,1,175,medium,female,71,low,2,sales_executive,high,married,4559,24788,3,y,yes,11,excellent,high,80,1,4,2,better,2,2,2,2
41,no,travel_rarely,802,sales,9,below_college,life_sciences,1,176,high,male,96,high,3,sales_executive,high,divorced,8189,21196,3,y,yes,13,excellent,high,80,1,12,2,better,9,7,0,7
26,no,travel_rarely,1355,human_resources,25,below_college,life_sciences,1,177,high,female,61,high,1,human_resources,high,married,2942,8916,1,y,no,23,outstanding,very_high,80,1,8,3,better,8,7,5,7
36,no,travel_rarely,216,research_&_development,6,college,medical,1,178,medium,male,84,high,2,manufacturing_director,medium,divorced,4941,2819,6,y,no,20,outstanding,very_high,80,2,7,0,better,3,2,0,1
51,yes,travel_frequently,1150,research_&_development,8,master,life_sciences,1,179,low,male,53,low,3,manufacturing_director,very_high,single,10650,25150,2,y,no,15,excellent,very_high,80,0,18,2,better,4,2,0,3
39,no,travel_rarely,1329,sales,4,master,life_sciences,1,182,very_high,female,47,medium,2,sales_executive,high,married,5902,14590,4,y,no,14,excellent,high,80,1,17,1,best,15,11,5,9
25,no,travel_rarely,959,sales,28,bachelor,life_sciences,1,183,low,male,41,medium,2,sales_executive,high,married,8639,24835,2,y,no,18,excellent,very_high,80,0,6,3,better,2,2,2,2
30,no,travel_rarely,1240,human_resources,9,bachelor,human_resources,1,184,high,male,48,high,2,human_resources,very_high,married,6347,13982,0,y,yes,19,excellent,very_high,80,0,12,2,bad,11,9,4,7
32,yes,travel_rarely,1033,research_&_development,9,bachelor,medical,1,190,low,female,41,high,1,laboratory_technician,low,single,4200,10224,7,y,no,22,outstanding,low,80,0,10,2,best,5,4,0,4
45,no,travel_rarely,1316,research_&_development,29,bachelor,medical,1,192,high,male,83,high,1,research_scientist,very_high,single,3452,9752,5,y,no,13,excellent,medium,80,0,9,2,good,6,5,0,3
